field_id,source_file,source_section,total_visible_records,populated_count,blank_count,expected_missing_count,not_exposed_count,inferred_only_count,unknown_missing_count,not_claimable_count,count_rule,count_status,confidence,notes
"exportGeneratedAt","data/internal-telemetry/telemetry-dashboard-export.json","top_level","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportGeneratedAtTz","data/internal-telemetry/telemetry-dashboard-export.json","top_level","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"checksumAlgo","data/internal-telemetry/telemetry-dashboard-export.json","top_level","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"sourceChecksumPrefix","data/internal-telemetry/telemetry-dashboard-export.json","top_level","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"dbPath","data/internal-telemetry/telemetry-dashboard-export.json","top_level","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"dbMode","data/internal-telemetry/telemetry-dashboard-export.json","top_level","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"generatedAt","data/internal-telemetry/telemetry-dashboard-export.json","top_level","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.generated_at","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.generated_at_timezone","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.export_source","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.export_claim_level","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.source_checksum_algorithm","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.source_database_label","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.source_database_sha256","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.local_paths_redacted","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.not_live_database","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.not_production_telemetry_verification","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.fallback_mode_label","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
